Run,Assay Type,AvgSpotLen,Biomaterial_provider,BioProject,BioSample,BioSampleModel,Breed,Center Name,collected_by,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,env_biome,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,SRA Study,tissue,Depth
SRR7235977,WGS,300,Iliana Baums,PRJNA473816,SAMN09283744,Invertebrate,not applicable,PENNSYLVANIA STATE UNIVERSITY,"Nicole Fogarty\, Nova Southeastern University",2010-06-04,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Adult,coral reef,SRX4142343,uncalculated,uncalculated,Virgin Islands,Illumina HiSeq 2500,1835,"Virgin Islands (provided by Nicole Fogarty\, Nova Southeastern University)",Aprol_VI_1835,PAIRED,RANDOM,GENOMIC,4515,2277,Acropora prolifera,ILLUMINA,2018-10-22T00:00:00Z,SRS3356139,Aprol_VI_1835,SRP149363,whole animal,2.74
SRR7235978,WGS,300,Iliana Baums,PRJNA473816,SAMN09283743,Invertebrate,not applicable,PENNSYLVANIA STATE UNIVERSITY,"Nicole Fogarty\, Nova Southeastern University",2010-06-04,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Adult,coral reef,SRX4142342,uncalculated,uncalculated,Virgin Islands,Illumina HiSeq 2500,1834,"Virgin Islands (provided by Nicole Fogarty\, Nova Southeastern University)",Aprol_VI_1834,PAIRED,RANDOM,GENOMIC,3584,1785,Acropora prolifera,ILLUMINA,2018-10-22T00:00:00Z,SRS3356140,Aprol_VI_1834,SRP149363,whole animal,1.83
SRR7235979,WGS,300,Iliana Baums,PRJNA473816,SAMN09283724,Invertebrate,not applicable,PENNSYLVANIA STATE UNIVERSITY,"Margaret Miller\, NOAA",2010-06-03,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Adult,coral reef,SRX4142341,USA,North America,USA: Florida,Illumina HiSeq 2500,2655,"Florida (provided by Margaret Miller\, NOAA)",Apalm_FL_2655,PAIRED,RANDOM,GENOMIC,3487,1738,Acropora palmata,ILLUMINA,2018-10-22T00:00:00Z,SRS3356137,Apalm_FL_2655,SRP149363,whole animal,
SRR7235980,WGS,300,Iliana Baums,PRJNA473816,SAMN09283723,Invertebrate,not applicable,PENNSYLVANIA STATE UNIVERSITY,"Iliana Baums\, Pennsylvania State University",2002-07-02,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Adult,coral reef,SRX4142340,USA,North America,USA: Florida,Illumina HiSeq 2500,1037,"Florida (provided by Iliana Baums\, Pennsylvania State University)",Apalm_FL_1037,PAIRED,RANDOM,GENOMIC,3061,1529,Acropora palmata,ILLUMINA,2018-10-22T00:00:00Z,SRS3356135,Apalm_FL_1037,SRP149363,whole animal,
SRR7235981,WGS,300,Iliana Baums,PRJNA473816,SAMN09283720,Invertebrate,not applicable,PENNSYLVANIA STATE UNIVERSITY,"Iliana Baums\, Pennsylvania State University",2002-12-16,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Adult,coral reef,SRX4142339,uncalculated,uncalculated,Curacao,Illumina HiSeq 2500,3070,"Curacao (provided by Iliana Baums\, Pennsylvania State University)",Apalm_CU_3070,PAIRED,RANDOM,GENOMIC,3651,1859,Acropora palmata,ILLUMINA,2018-10-22T00:00:00Z,SRS3356136,Apalm_CU_3070,SRP149363,whole animal,
SRR7235982,WGS,300,Iliana Baums,PRJNA473816,SAMN09283719,Invertebrate,not applicable,PENNSYLVANIA STATE UNIVERSITY,"Nicole Fogarty\, Nova Southeastern University",2016-02-06,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Adult,coral reef,SRX4142338,uncalculated,uncalculated,Curacao,Illumina HiSeq 2500,13939,"Curacao (provided by Nicole Fogarty\, Nova Southeastern University)",Apalm_CU_13939,PAIRED,RANDOM,GENOMIC,4617,2318,Acropora palmata,ILLUMINA,2018-10-22T00:00:00Z,SRS3356134,Apalm_CU_13939,SRP149363,whole animal,
SRR7235983,WGS,500,Iliana Baums,PRJNA473816,SAMN09283722,Invertebrate,not applicable,PENNSYLVANIA STATE UNIVERSITY,"Iliana Baums\, Pennsylvania State University",2001-04-25,public,sra,"ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",Adult,coral reef,SRX4142337,USA,North America,USA: Florida,Illumina HiSeq 2500,1012,"Florida (provided by Iliana Baums\, Pennsylvania State University)",Apalm_FL_1012,PAIRED,RANDOM,GENOMIC,109280,66611,Acropora palmata,ILLUMINA,2018-10-22T00:00:00Z,SRS3356133,Apalm_FL_1012,SRP149363,whole animal,
SRR7235984,WGS,300,Iliana Baums,PRJNA473816,SAMN09283721,Invertebrate,not applicable,PENNSYLVANIA STATE UNIVERSITY,"Iliana Baums\, Pennsylvania State University",2002-12-16,public,sra,"ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",Adult,coral reef,SRX4142336,uncalculated,uncalculated,Curacao,Illumina HiSeq 2500,3071,"Curacao (provided by Iliana Baums\, Pennsylvania State University)",Apalm_CU_3071,PAIRED,RANDOM,GENOMIC,4083,2023,Acropora palmata,ILLUMINA,2018-10-22T00:00:00Z,SRS3356132,Apalm_CU_3071,SRP149363,whole animal,
SRR7235985,WGS,300,Iliana Baums,PRJNA473816,SAMN09283716,Invertebrate,not applicable,PENNSYLVANIA STATE UNIVERSITY,"Nicole Fogarty\, Nova Southeastern University",2016-02-03,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Adult,coral reef,SRX4142335,uncalculated,uncalculated,Curacao,Illumina HiSeq 2500,13911,"Curacao (provided by Nicole Fogarty\, Nova Southeastern University)",Apalm_CU_13911,PAIRED,RANDOM,GENOMIC,3350,1688,Acropora palmata,ILLUMINA,2018-10-22T00:00:00Z,SRS3356131,Apalm_CU_13911,SRP149363,whole animal,
SRR7235986,WGS,300,Iliana Baums,PRJNA473816,SAMN09283715,Invertebrate,not applicable,PENNSYLVANIA STATE UNIVERSITY,"Nicole Fogarty\, Nova Southeastern University",2016-02-03,public,sra,"gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Adult,coral reef,SRX4142334,uncalculated,uncalculated,Curacao,Illumina HiSeq 2500,13907,"Curacao (provided by Nicole Fogarty\, Nova Southeastern University)",Apalm_CU_13907,PAIRED,RANDOM,GENOMIC,3624,1783,Acropora palmata,ILLUMINA,2018-10-22T00:00:00Z,SRS3356130,Apalm_CU_13907,SRP149363,whole animal,
